id_tapa;nombre;precio_base;tipo;
TAPA-001;Bomba de la Barceloneta;4.50;Caliente;
TAPA-002;Patatas Bravas;3.50;Caliente;
TAPA-003;Tortilla de Patatas;3.20;Caliente;
TAPA-004;Filete a la Plancha con Foie;6.50;Caliente;
TAPA-005;Bacallà a Bra;5.80;Caliente;
TAPA-006;Chistorra (Tapica Maña;4.00;Caliente;
TAPA-007;Alcachofas a la Brasa;4.50;Vegetariana;
TAPA-008;Capipota;4.80;Caliente;
TAPA-009;Ensaladilla Rusa;3.50;Frí;
TAPA-010;Pescaíto Frit;5.50;Caliente;
TAPA-011;Pincho de Tortilla con Butifarra;3.20;Caliente;
TAPA-012;Croquetas de Pollo Asado;4.00;Caliente;
TAPA-013;Boquerones en Vinagre;3.20;Frí;
TAPA-014;Berberechos al Natural;3.50;Frí;
TAPA-015;Mejillones en Escabeche;3.00;Frí;
TAPA-016;Huevo Frito con Jamón Ibéri;4.80;Caliente;
TAPA-017;Berenjenas Rebozadas con Miel;3.80;Vegetariana;
TAPA-018;Torrezno de Soria;3.50;Caliente;
TAPA-019;Albóndigas Caseras en Sals;4.20;Caliente;
TAPA-020;Pimientos del Padró;3.50;Caliente;
TAPA-021;Ensaladilla de Mejillones;3.50;Frí;
TAPA-022;Bocadillo de Rabo de Toro;5.50;Caliente;
TAPA-023;Nísperos con Anchoa;3.90;Frí;
TAPA-024;Roll de Calamares con Alioli Wasabi;5.80;Caliente;
TAPA-025;Berenjenas con Romesco;3.50;Vegetariana;
TAPA-026;Almejas a la Marinera;5.80;Marisco;
TAPA-027;Morcilla de Burgos;3.50;Caliente;
TAPA-028;Pan con Tomate (Pa amb Tomàquet;2.00;Frí;
TAPA-029;Chipirones en su Tinta;4.80;Caliente;
TAPA-030;Croquetas de Bacalao;3.80;Caliente;
TAPA-031;Esqueixada de Bacalao;4.50;Frí;
TAPA-032;Alitas de Pollo Marinadas;4.00;Caliente;
TAPA-033;Gambas al Ajillo;5.50;Caliente;
TAPA-034;Pincho de Solomillo con Pimientos;4.50;Caliente;
TAPA-035;Mejillones al Vapor;4.20;Caliente;
TAPA-036;Croquetas de Jamó;3.80;Caliente;
TAPA-037;Bravas con Salsa Alioli Picante;3.70;Picante;
TAPA-038;Pan de Coca con Escalivada;3.20;Vegetariana;
TAPA-039;Pintxo de Tortilla de Bacalao;3.00;Caliente;
TAPA-040;Butifarra Esparracada con Setas;4.80;Caliente;
TAPA-041;Callos a la Catalana;4.50;Caliente;
TAPA-042;Sardinas Encebolladas;3.20;Caliente;
TAPA-043;Fuet y Olivas;2.80;Frí;
TAPA-044;Chocos Fritos;3.90;Caliente;
TAPA-045;Pintxo de Choricito Criollo;3.20;Picante;
TAPA-046;Montadito de Sobrasada y Miel;3.00;Caliente;
TAPA-047;Patatas con All i Oli;3.20;Frí;
TAPA-048;Calamares a la Romana;4.00;Caliente;
TAPA-049;Pulpo a Feira;6.00;Caliente;
TAPA-050;Montadito de Salmón y Queso Fresc;3.50;Frí;
TAPA-051;Empanada Gallega;3.50;Caliente;
TAPA-052;Escalivada con Anchoas;3.70;Frí;
TAPA-053;Montadito de Atún con Piquill;3.20;Frí;
TAPA-054;Espinacas a la Catalana;3.80;Vegetariana;
TAPA-055;Pincho de Butifarra con Mongetes;4.50;Caliente;
TAPA-056;Galta de Cerdo a la Brasa;4.80;Caliente;
TAPA-057;Canelón de Pollo y Foi;4.20;Caliente;
TAPA-058;Croquetas de Setas;3.80;Vegetariana;
TAPA-059;Hummus con Pimentó;3.20;Vegana;
TAPA-060;Queso Manchego en Aceite;3.50;Frí;
TAPA-061;Montadito de Escalivada y Queso;3.20;Vegetariana;
TAPA-062;Tortilla de Calçot;3.90;Caliente;
TAPA-063;Pintxo de Pollo al Chilindró;3.50;Picante;
TAPA-064;Gildas (Banderillas);2.80;Picante;
TAPA-065;Lacón a la Galleg;4.00;Caliente;
TAPA-066;Tortilla de Bacalao y Pimientos;3.60;Caliente;
TAPA-067;Sepia a la Plancha;4.50;Caliente;
TAPA-068;Pescadito de Lonja Frito;4.50;Caliente;
TAPA-069;Huevos Rotos con Chorizo;4.80;Caliente;
TAPA-070;Huevos Rotos con Gulas;5.00;Caliente;
TAPA-071;Mini Hamburguesa Ibéric;4.20;Caliente;
TAPA-072;Brocheta de Pollo con Verduras;3.80;Caliente;
TAPA-073;Pa amb Tomàquet amb Perni;3.50;Frí;
TAPA-074;Xipirones a la Andaluza;4.80;Caliente;
TAPA-075;Cargols a la Llauna;6.50;Caliente;
TAPA-076;Montadito de Brie y Mermelada;3.20;Vegetariana;
TAPA-077;Salpicón de Marisc;4.50;Marisco;
TAPA-078;Pintxo de Secreto Ibéric;4.80;Caliente;
TAPA-079;Chocos en Salsa Verde;4.20;Caliente;
TAPA-080;Muslitos de Codorniz;4.50;Caliente;
TAPA-081;Empanadillas de Atú;3.00;Caliente;
TAPA-082;Chupito de Salmorejo;2.50;Frí;
TAPA-083;Alubias Blancas con Almejas;4.50;Caliente;
TAPA-084;Montadito de Calabacín y Ques;3.00;Vegetariana;
TAPA-085;Gazpacho Andaluz (vasito);2.50;Frí;
TAPA-086;Patatas Confitadas con Mojo;3.50;Picante;
TAPA-087;Revuelto de Setas y Ajos Tiernos;4.00;Vegetariana;
TAPA-088;Queso de Cabra con Miel;3.20;Vegetariana;
TAPA-089;Sardinas a la Plancha;3.80;Caliente;
TAPA-090;Taco de Carrillera Ibéric;4.70;Caliente;
TAPA-091;Fideuá (ración peque�;5.00;Caliente;
TAPA-092;Ceviche de Corvina;5.50;Frí;
TAPA-093;Montadito de Jamón y Seta;3.90;Caliente;
TAPA-094;Espardenyes con Ajo y Perejil;6.50;Marisco;
TAPA-095;Bombas de Pollo y Queso;4.20;Caliente;
TAPA-096;Triángulos de Tortilla con Ques;3.20;Vegetariana;
TAPA-097;Habitas con Menta y Jamó;3.90;Caliente;
TAPA-098;Montadito de Anchoas y Pimiento;3.00;Frí;
TAPA-099;Palitos de Polenta con Alioli;3.50;Vegana;
TAPA-100;Paella (tapa individual);5.50;Caliente;
